"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 28 05:08:10 UTC 2026","Sun Jun 28 05:08:11 UTC 2026","380","Surefire suite","Surefire test","automationExerciseProject.testCases.userTest","automationExerciseProject.testCases.userTest","userShouldNotAbleToRegisterWithUserThatAreadyRegistered","userShouldNotAbleToRegisterWithUserThatAreadyRegistered",""
"passed","Sun Jun 28 05:08:10 UTC 2026","Sun Jun 28 05:08:11 UTC 2026","177","Surefire suite","Surefire test","automationExerciseProject.testCases.ProductsTest","automationExerciseProject.testCases.ProductsTest","userToShouldReturnAllProduct","userToShouldReturnAllProduct","user should able to return all products"
"passed","Sun Jun 28 05:08:06 UTC 2026","Sun Jun 28 05:08:10 UTC 2026","3933","Surefire suite","Surefire test","automationExerciseProject.testCases.userTest","automationExerciseProject.testCases.userTest","userShouldAbleToLogin","userShouldAbleToLogin",""
"passed","Sun Jun 28 05:08:10 UTC 2026","Sun Jun 28 05:08:10 UTC 2026","240","Surefire suite","Surefire test","automationExerciseProject.testCases.userTest","automationExerciseProject.testCases.userTest","userShouldNotAbleToRegisterWithoutAddress1","userShouldNotAbleToRegisterWithoutAddress1",""
"passed","Sun Jun 28 05:08:10 UTC 2026","Sun Jun 28 05:08:10 UTC 2026","253","Surefire suite","Surefire test","automationExerciseProject.testCases.userTest","automationExerciseProject.testCases.userTest","userShouldNotAbleToRegisterWithoutLastName","userShouldNotAbleToRegisterWithoutLastName",""
"passed","Sun Jun 28 05:08:10 UTC 2026","Sun Jun 28 05:08:10 UTC 2026","149","Surefire suite","Surefire test","automationExerciseProject.testCases.ProductsTest","automationExerciseProject.testCases.ProductsTest","SearchProductwithoutsearch_productparameter","SearchProductwithoutsearch_productparameter","user should not able to return specif   ic  product without search keywod "
"passed","Sun Jun 28 05:08:06 UTC 2026","Sun Jun 28 05:08:10 UTC 2026","3805","Surefire suite","Surefire test","automationExerciseProject.testCases.userTest","automationExerciseProject.testCases.userTest","userShouldNotAbleToLoginWithoutEmail","userShouldNotAbleToLoginWithoutEmail",""
"passed","Sun Jun 28 05:08:06 UTC 2026","Sun Jun 28 05:08:10 UTC 2026","3848","Surefire suite","Surefire test","automationExerciseProject.testCases.userTest","automationExerciseProject.testCases.userTest","userShouldNotAbleToLoginWithoutPassword","userShouldNotAbleToLoginWithoutPassword",""
"passed","Sun Jun 28 05:08:10 UTC 2026","Sun Jun 28 05:08:10 UTC 2026","245","Surefire suite","Surefire test","automationExerciseProject.testCases.userTest","automationExerciseProject.testCases.userTest","userShouldNotAbleToRegisterWithEmptyPassword","userShouldNotAbleToRegisterWithEmptyPassword",""
"passed","Sun Jun 28 05:08:10 UTC 2026","Sun Jun 28 05:08:10 UTC 2026","257","Surefire suite","Surefire test","automationExerciseProject.testCases.userTest","automationExerciseProject.testCases.userTest","userShouldRegister","userShouldRegister",""
